id,text
eng_train_track_a_00266,"Clearly, I need to get back on some technical trails and regain my footing there: ) My ankles have been spoiled on the easy pavement this winter!"
eng_train_track_a_00683,Charlie was so crazy!
eng_train_track_a_02345,"After I rationalized a bit, I calmed down."
eng_train_track_a_02745,If the noise hurt *your* ears then it must have really hurt theirs.
eng_train_track_a_00583,My balls hurt so badly that I could barely even walk.
eng_train_track_a_02011,"It can't be a plane as the lights never move, they just, appear."
eng_train_track_a_02540,We walked every aisle and I had so many ideas pop into my head.
eng_train_track_a_00161,""" I thought she was going to throw her coffee at me."
eng_train_track_a_02443,The heroine stood beside me and reached for my hand.
eng_train_track_a_00398,"I was 7 and woke up early, so I went to the basement to watch cartoons."
eng_train_track_a_00045,"*Creepy/unnerving* that is, and just weird."
eng_train_track_a_01471,sorry for spelling and stuff.
eng_train_track_a_01637,Never found anything... kind of spooky.
eng_train_track_a_00387,Probably gonna get buried but...
eng_train_track_a_01955,so stop shoving shit down my throat and into my head.
eng_train_track_a_02017,"Stripper, abusive exes, criminal past."
eng_train_track_a_00060,I almost envy them; being an actual teenager in this era means that I have a world-weary ennui on my shoulders.
eng_train_track_a_01052,After that we took a taxi home... Right now my leg hurts and while im typing this the photos are uploading... see ya...
eng_train_track_a_01886,"When it was my turn to play, I was mortified to find out I had to move my hand up and down in a sawing motion."
eng_train_track_a_02606,I remember swinging on the swings one day when I was in elementary school.
eng_train_track_a_01833,"( I breathed in and got cake stuck up my nose, plus I couldn't see with the frosting smudging my glasses."
eng_train_track_a_00507,between my legs.
eng_train_track_a_01492,"Maybe it was fatigue, maybe I was just being dramatic but I raised my hand and touched the tender flesh of my cheek."
eng_train_track_a_02517,She had been lucid.
eng_train_track_a_00409,I rolled my eyes.
eng_train_track_a_01974,She looked bisexual dammit!
eng_train_track_a_02292,"My hand seemed to tremble more as I took the frail hand offered to me, feeling the protruding veins under my thumb."
eng_train_track_a_02137,Again the stinging and the audience getting into my head and after several blows I called yellow again.
eng_train_track_a_01612,You get the picture.
eng_train_track_a_02681,"No noise at all, no lights, it wasn't pitch black either."
